"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","p_value_adjust","p_value_adjust_num"
"96","as.factor(book)4",0.613934508508769,0.0101726320885299,60.3515887693418,0,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"97","as.factor(book)5",0.592087981483195,0.0129813219250394,45.6107617469319,0,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"98","as.factor(year)2017",0.0028633258399506,0.00869832130769617,0.329181429227863,0.742019177599934,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"99","as.factor(year)2018",0.00864016593733674,0.00917739115502731,0.941462098692799,0.346470144823035,"grade4_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"100","relative_age",0.0365375237775474,0.00378415546734719,9.65539711378755,4.75614876190325e-22,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"101","I(relative_age^2)",-0.000784613144011177,0.000337797157074218,-2.32273459849986,0.020195185113937,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"102","as.factor(sex)2",0.124438885534806,0.00523265548778501,23.78121124643,1.06239059881513e-124,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"103","as.factor(book)2",0.230852406179304,0.0104799414319322,22.0280244578372,2.617734535278e-107,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"104","as.factor(book)3",0.489960328414077,0.0101444846484648,48.2981980250938,0,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"105","as.factor(book)4",0.612233733784558,0.0114980677604366,53.2466625297842,0,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"106","as.factor(book)5",0.71455339128229,0.0134994322031269,52.932107108681,0,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"107","as.factor(year)2017",-0.0095938740909013,0.00868358409681055,-1.10482883380206,0.269236121992632,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"108","as.factor(year)2018",-0.0157657370781279,0.00831187302636604,-1.8967730893046,0.0578604460404391,"grade5_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"109","relative_age",0.0381101552738019,0.00370846171617922,10.276540029397,9.2147046709681e-25,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"110","I(relative_age^2)",-0.00126412026499371,0.000330413695279828,-3.82587127305098,0.000130379284945635,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"111","as.factor(sex)2",0.122287987741806,0.00544174593862454,22.4721971810238,1.35363169171635e-111,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"112","as.factor(book)2",0.201954743688669,0.0101727081341318,19.8526037536715,1.46872046943073e-87,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"113","as.factor(book)3",0.463800140883095,0.0100378944973249,46.204922855754,0,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"114","as.factor(book)4",0.62144683471019,0.0114685046017814,54.1872594805133,0,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"115","as.factor(book)5",0.751177045584851,0.0125683607023399,59.7673048518573,0,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"116","as.factor(year)2017",-0.00333671771303657,0.0078715210260503,-0.423897452854908,0.671641395762796,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"117","as.factor(year)2018",-0.0115975581593869,0.00818302064437868,-1.41727103760319,0.156406412236668,"grade6_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"118","relative_age",0.0273577743054979,0.00413599725357036,6.61455330558586,3.74364557035698e-11,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"119","I(relative_age^2)",-0.00053810129338973,0.000362769561650628,-1.4833143413172,0.137993763708042,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"120","as.factor(sex)2",0.104027659316608,0.00558229583543587,18.6352823969398,2.18607959086681e-77,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"121","as.factor(book)2",0.235492942624648,0.00951741228472879,24.743379353494,8.52192853327443e-135,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"122","as.factor(book)3",0.45293862747234,0.0091631679342853,49.4303532054242,0,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"123","as.factor(book)4",0.576403012617907,0.00999603006671913,57.6631931647533,0,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"124","as.factor(book)5",0.648178236463383,0.0114090041566634,56.8128670620931,0,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"125","as.factor(year)2017",-0.00700442185789466,0.00805032153298775,-0.87007976379486,0.384258704304684,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"126","as.factor(year)2018",-0.0128375615682033,0.00802360611571729,-1.5999740494559,0.109607197133601,"grade7_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"127","relative_age",0.0270923236748865,0.0044932085809686,6.02961629460927,1.64859199096219e-09,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"128","I(relative_age^2)",-0.00075737321297144,0.000393431671606059,-1.92504383259158,0.0542263935770007,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"129","as.factor(sex)2",0.113673399584215,0.00608950117650004,18.6671118519349,1.2020071100161e-77,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"130","as.factor(book)2",0.224053055682924,0.0103134731846168,21.7243068045315,1.98484151131903e-104,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"131","as.factor(book)3",0.399524730878394,0.0101588880269814,39.3276045387329,0,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"132","as.factor(book)4",0.503672237899483,0.0104691881564684,48.1099613811303,0,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"133","as.factor(book)5",0.557168673072797,0.0127667767655936,43.6420784433517,0,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"134","as.factor(year)2017",-0.013284373089201,0.00867995511719105,-1.53046564294909,0.125904323718353,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"135","as.factor(year)2018",-0.0165596990716188,0.00866725406163229,-1.91060501444447,0.0560578993024066,"grade8_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"136","relative_age",0.0224740967416087,0.00399746011986461,5.62209404664927,1.89092085522767e-08,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"137","I(relative_age^2)",-0.000703143059793909,0.000359479570026712,-1.95600283972093,0.0504672359373337,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"138","as.factor(sex)2",0.102679456612427,0.00643202755817232,15.9637774688894,2.63340049789962e-57,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"139","as.factor(book)2",0.231611921889829,0.00977799206747217,23.6870637950626,9.71677532807647e-124,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"140","as.factor(book)3",0.41162113775592,0.00933548386783617,44.0921053030888,0,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"141","as.factor(book)4",0.495546517350294,0.0107390989748536,46.1441428662363,0,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"142","as.factor(book)5",0.563005979239408,0.0110763285636633,50.8296567769209,0,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"143","as.factor(year)2017",-0.0142734781020208,0.00855620466626128,-1.66820204270053,0.0952783468383697,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"144","as.factor(year)2018",-0.0191780740563999,0.00934325043391963,-2.05261265252787,0.0401124164367997,"grade9_not_apr_march_grade_t8_ra_cont_zgakuryoku",FALSE,NA,NA,NA
"145","(Intercept)",-0.205784840864205,0.0104045780892867,-19.7782975050278,5.67336496887169e-87,"grade4_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"146","relative_age",0.0473868610030519,0.00264196908130424,17.9361906005572,7.11435525682605e-72,"grade4_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"147","I(relative_age^2)",-0.00137393433482916,0.00023197687940173,-5.92272099862944,3.17232676348391e-09,"grade4_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"148","(Intercept)",-0.183331463441145,0.00978994624596573,-18.7265035818448,3.56860205508559e-78,"grade5_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"149","relative_age",0.0415889764431334,0.00246439483686488,16.8759387988499,7.56831762874438e-64,"grade5_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"150","I(relative_age^2)",-0.00114518903270387,0.000222182979986209,-5.15426083840873,2.54899216794956e-07,"grade5_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"151","(Intercept)",-0.157191130402186,0.00919632096977105,-17.0928277643728,1.8878362344859e-65,"grade6_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
"152","relative_age",0.0352790903456641,0.00232737737940334,15.1583024987157,7.18226395599627e-52,"grade6_all_grade_t8_ra_basic_zkokugo_level",TRUE,"table8_cognitive_ra_basic_all_grade",NA,NA
