"","term","estimate","std.error","statistic","p.value","conf.low","conf.high","tau","name","fm_use","fm_delta"
"84","I(relative_age^2)",0.000230117841802343,0.000221906683387251,1.0370027539944,0.299735077868062,-0.00020481232405961,0.000665048007664297,0.1,"rq_zmath_level_junior_0.1",NA,NA
"85","(Intercept)",-0.152791714322939,0.00428988588407006,-35.616731645546,0,-0.161199756616246,-0.144383672029632,0.5,"rq_zmath_level_junior_0.5",NA,NA
"86","relative_age",0.0273552966968409,0.00179032362899411,15.2795261447844,0,0.0238463183235031,0.0308642750701787,0.5,"rq_zmath_level_junior_0.5",NA,NA
"87","I(relative_age^2)",-0.00113241824189245,0.000156688261053757,-7.2272053712048,4.9382720135327e-13,-0.00143952233776056,-0.000825314146024348,0.5,"rq_zmath_level_junior_0.5",NA,NA
"88","(Intercept)",1.03678088809759,0.00616656881142607,168.129298448195,0,1.02469460590449,1.04886717029068,0.9,"rq_zmath_level_junior_0.9",NA,NA
"89","relative_age",0.035927749437172,0.00257353089365627,13.9604888854195,0,0.03088370929677,0.0409717895775741,0.9,"rq_zmath_level_junior_0.9",NA,NA
"90","I(relative_age^2)",-0.0015948793723041,0.000225234183342418,-7.08098277373575,1.43307588018615e-12,-0.0020363313341089,-0.0011534274104993,0.9,"rq_zmath_level_junior_0.9",NA,NA
"91","(Intercept)",-1.20489681750549,0.00730445785559591,-164.95362713092,0,-1.21921334613297,-1.190580288878,0.1,"rq_zeng_level_junior_0.1",NA,NA
"92","relative_age",0.0107980253946682,0.00304681668897161,3.54403513468769,0.000394109006280452,0.00482635176567428,0.0167696990236621,0.1,"rq_zeng_level_junior_0.1",NA,NA
"93","I(relative_age^2)",-0.00016837901626134,0.00026664731032576,-0.631467146830145,0.527735576174643,-0.000691000123424818,0.000354242090902138,0.1,"rq_zeng_level_junior_0.1",NA,NA
"94","(Intercept)",-0.178038981583749,0.00562784071291166,-31.6353981332988,0,-0.189069388531144,-0.167008574636353,0.5,"rq_zeng_level_junior_0.5",NA,NA
"95","relative_age",0.0214719154771282,0.00234747045516005,9.1468309771184,0,0.0168709404783161,0.0260728904759402,0.5,"rq_zeng_level_junior_0.5",NA,NA
"96","I(relative_age^2)",-0.000849303956215751,0.000205442843083839,-4.13401578496049,3.56569912653981e-05,-0.00125196605687642,-0.00044664185555508,0.5,"rq_zeng_level_junior_0.5",NA,NA
"97","(Intercept)",1.14875534461875,0.00413849176414456,277.578260411543,0,1.1406440190437,1.1568666701938,0.9,"rq_zeng_level_junior_0.9",NA,NA
"98","relative_age",0.00873323220302309,0.00172623704913395,5.05911526311205,4.21439084075104e-07,0.00534985692448444,0.0121166074815617,0.9,"rq_zeng_level_junior_0.9",NA,NA
"99","I(relative_age^2)",-0.000415868200210202,0.000151074551942148,-2.75273495677453,0.0059103060405179,-0.000711970004139046,-0.000119766396281358,0.9,"rq_zeng_level_junior_0.9",NA,NA
"100","(Intercept)",-1.36021202646996,0.00778713395164719,-174.674281310165,0,-1.37547457657624,-1.34494947636368,0.1,"rq_zstrategy_junior_0.1",NA,NA
"101","relative_age",0.024400991507143,0.00324859429434283,7.51124618720024,5.86197757002083e-14,0.0180338436578493,0.0307681393564368,0.1,"rq_zstrategy_junior_0.1",NA,NA
"102","I(relative_age^2)",-0.00107054670931118,0.000284173299224612,-3.76723186953964,0.00016509225962924,-0.001627517893474,-0.000513575525148366,0.1,"rq_zstrategy_junior_0.1",NA,NA
"103","(Intercept)",0.0225715083402535,0.00533294457781149,4.23246632529533,2.31196014208734e-05,0.0121190961513427,0.0330239205291643,0.5,"rq_zstrategy_junior_0.5",NA,NA
"104","relative_age",0.0131015277013217,0.00222476888610094,5.88893874917634,3.89004650713787e-09,0.00874104709191435,0.017462008310729,0.5,"rq_zstrategy_junior_0.5",NA,NA
"105","I(relative_age^2)",-0.000311084482609284,0.000194613379539738,-1.59847428447623,0.109938285238233,-0.000692520897472809,7.03519322542413e-05,0.5,"rq_zstrategy_junior_0.5",NA,NA
"106","(Intercept)",1.17342743543728,0.00451210701786779,260.061969007062,0,1.1645838403646,1.18227103050997,0.9,"rq_zstrategy_junior_0.9",NA,NA
"107","relative_age",0.00843552885779183,0.00188233632614076,4.48141426197022,7.41713594010207e-06,0.00474620584460248,0.0121248518709812,0.9,"rq_zstrategy_junior_0.9",NA,NA
