"","term","statistic","bias","std.error","X2.5.","X97.5.","fm_use","fm_delta","name"
"65","tau2-tau3",0.0644391358864799,-0.00642748301061837,0.00937544599940632,0.0388615011064795,0.0735940129912583,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
"66","tau1-tau3",0.0968383083306537,-0.00402998698715913,0.0107623238139245,0.0707979110471957,0.111217433862605,"zstrategy ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zstrategy_junior"
"67","res.tau1.delta",0.0237925403399469,0.0074405388470966,0.0160883011043576,0.0165225974590927,0.0625786490626604,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"68","res.tau2.delta",0.0191115225829353,0.00212098353936128,0.0116444688928657,0.0145611600201041,0.0436834801054293,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"69","res.tau3.delta",0.0169283934837139,0.000668497023990605,0.0029113462204525,0.0155176940432777,0.0209488869426068,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"70","tau1-tau2",0.00468101775701166,0.00531955530773532,0.0196944552912719,-0.0192498384222927,0.0439504700859384,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"71","tau2-tau3",0.0021831290992214,0.00145248651537067,0.0117987695454396,-0.00616908196045613,0.0267550866962628,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"72","tau1-tau3",0.00686414685623306,0.00677204182310599,0.0161302505737496,-0.00292423508969999,0.0427620707827895,"zselfcontrol ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zselfcontrol_junior"
"73","res.tau1.delta",0.0810255897182841,0.00206088298808171,0.0284208380535446,0.0182741065072908,0.130122375524318,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
"74","res.tau2.delta",0.0288002037630974,0.0138760665000573,0.0196559776485563,0.0211593333887354,0.0759431628379625,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
"75","res.tau3.delta",0.0489772262698312,-0.0111213068241447,0.0215235307913749,2.417643889401e-13,0.0646280263577668,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
"76","tau1-tau2",0.0522253859551867,-0.0118151835119756,0.0314500699783473,-0.0308409533041383,0.0971287645326158,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
"77","tau2-tau3",-0.0201770225067337,0.0249973733242021,0.027143476519967,-0.0278178928795288,0.0707533261144974,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
"78","tau1-tau3",0.032048363448453,0.0131821898122265,0.0349904112847929,-0.0257767250240219,0.124832714688737,"zdilligence ~ relative_age + I(relative_age^2)","11 * relative_age  +  11 **2 * `I(relative_age^2)`","rqboot_zdilligence_junior"
