"","tau","AIC","BIC","df.residual","obs","delta_est","delta_se","fm_use","name","fm_delta"
"61",0.1,309157.441849044,309185.630619468,88985,NA,NA,NA,"zselfefficacy ~ relative_age + I(relative_age^2)","rqboot_zselfefficacy_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"62",0.5,261827.215557428,261855.404327853,88985,NA,NA,NA,"zselfefficacy ~ relative_age + I(relative_age^2)","rqboot_zselfefficacy_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"63",0.9,280826.062871629,280854.251642053,88985,NA,NA,NA,"zselfefficacy ~ relative_age + I(relative_age^2)","rqboot_zselfefficacy_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"64",0.1,162574.978908427,162601.123428133,45016,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"65",0.5,130651.087571909,130677.232091615,45016,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"66",0.9,132354.59519915,132380.739718855,45016,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_prime","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"67",0.1,1532612.49835745,1532645.84858226,497194,NA,NA,NA,"zgakuryoku ~ relative_age + I(relative_age^2)","rqboot_zgakuryoku_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"68",0.5,1343966.69491725,1344000.04514207,497194,NA,NA,NA,"zgakuryoku ~ relative_age + I(relative_age^2)","rqboot_zgakuryoku_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"69",0.9,1601539.72339787,1601573.07362268,497194,NA,NA,NA,"zgakuryoku ~ relative_age + I(relative_age^2)","rqboot_zgakuryoku_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"70",0.1,1575365.77247008,1575399.12353348,497333,NA,NA,NA,"zmath_level ~ relative_age + I(relative_age^2)","rqboot_zmath_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"71",0.5,1395291.32110828,1395324.67217168,497333,NA,NA,NA,"zmath_level ~ relative_age + I(relative_age^2)","rqboot_zmath_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"72",0.9,1723994.09506579,1724027.44612918,497333,NA,NA,NA,"zmath_level ~ relative_age + I(relative_age^2)","rqboot_zmath_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"73",0.1,943611.127937265,943643.147716702,319097,NA,NA,NA,"zeng_level ~ relative_age + I(relative_age^2)","rqboot_zeng_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"74",0.5,904535.515687176,904567.535466612,319097,NA,NA,NA,"zeng_level ~ relative_age + I(relative_age^2)","rqboot_zeng_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"75",0.9,1145286.09919424,1145318.11897367,319097,NA,NA,NA,"zeng_level ~ relative_age + I(relative_age^2)","rqboot_zeng_level_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"76",0.1,1379239.80847661,1379272.38925865,384713,NA,NA,NA,"zstrategy ~ relative_age + I(relative_age^2)","rqboot_zstrategy_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"77",0.5,1108969.45396012,1109002.03474216,384713,NA,NA,NA,"zstrategy ~ relative_age + I(relative_age^2)","rqboot_zstrategy_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"78",0.9,1177650.41566299,1177682.99644503,384713,NA,NA,NA,"zstrategy ~ relative_age + I(relative_age^2)","rqboot_zstrategy_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"79",0.1,469331.290707502,469360.715005712,134333,NA,NA,NA,"zselfcontrol ~ relative_age + I(relative_age^2)","rqboot_zselfcontrol_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"80",0.5,400812.322880832,400841.747179042,134333,NA,NA,NA,"zselfcontrol ~ relative_age + I(relative_age^2)","rqboot_zselfcontrol_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"81",0.9,395626.7598059,395656.184104109,134333,NA,NA,NA,"zselfcontrol ~ relative_age + I(relative_age^2)","rqboot_zselfcontrol_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"82",0.1,476341.686995791,476371.079052525,132897,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"83",0.5,385074.785130845,385104.177187579,132897,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
"84",0.9,399425.061057026,399454.45311376,132897,NA,NA,NA,"zdilligence ~ relative_age + I(relative_age^2)","rqboot_zdilligence_junior","11 * relative_age  +  11 **2 * `I(relative_age^2)`"
