"","term","estimate","std.error","statistic","p.value","name","is_adopt","tag_adopt","num_p_adjust","p_value_adjust","p_value_adjust_num"
"127","as.factor(year)2004",0.294916875429629,0.08209900933751,3.59220991592264,0.000327913128508538,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"128","as.factor(year)2005",0.34742593800499,0.0827979541007395,4.19606911521365,2.71628445410247e-05,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"129","as.factor(year)2006",0.370250299330398,0.0823120299509758,4.49813106967372,6.85669374999479e-06,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"130","as.factor(year)2007",0.305660482806895,0.0824107295720449,3.70898891921204,0.00020810826091106,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"131","as.factor(year)2008",0.413521423167744,0.0824684671934619,5.01429743077034,5.32435131926383e-07,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"132","as.factor(year)2009",0.52477778597685,0.132402963845943,3.96348971906288,7.38710379603566e-05,"all_no_live_liner_I(no_legitimate*100)",TRUE,"table14_parametroric_no_live_liner",NA,NA,NA
"133","relative_age",0.22308386097502,0.60880706726907,0.366427843841743,0.714045982114442,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"134","I(relative_age^2)",-0.00058778430546133,0.0519574131232755,-0.0113128092822239,0.990973880624717,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"135","as.factor(year)2001",-3.30047175326148,3.58108911179525,-0.921639102023602,0.356717245781876,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"136","as.factor(year)2002",-8.28974716685536,3.04467497674363,-2.72270348400915,0.00647521153527211,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"137","as.factor(year)2003",-11.8504229165175,3.56206585551132,-3.326839928628,0.00087842370302996,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"138","as.factor(year)2004",-18.9790419080896,3.49489211268837,-5.43050866697297,5.62165462823841e-08,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"139","as.factor(year)2005",-21.477433454304,3.33479059092432,-6.44041443344451,1.19242042307561e-10,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"140","as.factor(year)2006",-25.7160498026812,3.26333759951976,-7.88029096544154,3.27190737647165e-15,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"141","as.factor(year)2007",-25.3116930187052,3.67585962003086,-6.8859248271545,5.7472372772459e-12,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"142","as.factor(year)2008",-25.5542226965076,3.19400959497842,-8.00067186294108,1.23971852452872e-15,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"143","as.factor(year)2009",-17.7677712379625,4.62598986587643,-3.84085822777656,0.000122618180557437,"all_ols_gram",TRUE,"table14_parametroric",NA,NA,NA
"144","relative_age",0.216530100668187,0.173205091424593,1.25013704208837,0.211250004157491,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"145","as.factor(year)2001",-3.30263147424087,3.54037101167891,-0.932848976377395,0.350898345328516,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"146","as.factor(year)2002",-8.29215437313779,3.00860842259681,-2.75614277712505,0.00584893204930423,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"147","as.factor(year)2003",-11.8527782819014,3.52106208698671,-3.36625086098522,0.000762024132578184,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"148","as.factor(year)2004",-18.9814204059106,3.47717008392311,-5.45887027317768,4.79372918738844e-08,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"149","as.factor(year)2005",-21.4798422352729,3.3076038931373,-6.4940793786825,8.36110164092967e-11,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"150","as.factor(year)2006",-25.7184633104953,3.25903149053042,-7.89144363447359,2.99235990752247e-15,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"151","as.factor(year)2007",-25.3140590459074,3.63932817432768,-6.95569562109739,3.51202091646253e-12,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"152","as.factor(year)2008",-25.5566200455961,3.16684644050218,-8.07005345088455,7.04023578193494e-16,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
"153","as.factor(year)2009",-17.7759153450576,4.5358843864465,-3.91895247554658,8.89450309672066e-05,"all_ols_liner_gram",FALSE,NA,NA,NA,NA
